X,Y,OBJECTID,CASE_ID,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_HWY_IND,STATE_ROUTE,RAMP_INTERSECTION,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,COUNTY,CITY_TIMS,POINT_X,POINT_Y,CRASH_TYPE,YEAR
-118.39911347122,34.0596857868432,17400,8941656,2019,2019/09/16 00:00:00+00,1820,1,OLYMPIC BL,BEVERWIL DR, ,Y,N, , ,2,0,2,1,1,0,0,0,0,0,0,1,LOS ANGELES,BEVERLY HILLS,-118.39910126,34.05968094,AUTO-AUTO,2022
-118.409184267141,33.9813357100796,17401,8942704,2019,2019/09/05 00:00:00+00,1650,4,N JEFFERSON BL,S CENTINELA AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.40917206,33.98133087,AUTO-AUTO,2022
-118.267330908911,33.9601259996871,17402,8942936,2019,2019/09/11 00:00:00+00,0625,3,MANCHESTER AV,TOWNE AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.26731873,33.96012115,AUTO-AUTO,2022
-118.270939617551,34.0148936136602,17403,8943172,2019,2019/08/06 00:00:00+00,2050,2,MAPLE AV,E 37TH ST, ,Y,N, , ,2,0,1,1,0,0,0,0,0,1,0,0,LOS ANGELES,LOS ANGELES,-118.27092743,34.01488876,AUTO-BICYCLIST,2022
-118.094761665763,34.6877834075131,17404,8944387,2019,2019/09/09 00:00:00+00,2213,1,20TH ST E,EAST AVENUE J-2, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,LANCASTER,-118.09474945,34.68777847,AUTO-AUTO,2022
-118.080213384171,33.8103460239403,17405,8944604,2019,2019/09/13 00:00:00+00,0756,5,SPRING ST,RT 605, ,Y,Y,605,4,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LONG BEACH,-118.08133698,33.80995178,AUTO-AUTO,2022
-118.111223759674,33.7579583550108,17406,8945110,2019,2019/09/13 00:00:00+00,2252,5,PACIFIC COAST HWY,2ND ST, ,Y,Y,1,-,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,LONG BEACH,-118.11101532,33.75774384,AUTO-PEDESTRIAN,2022
-118.700007073581,34.1454329605542,17407,8946308,2019,2019/09/08 00:00:00+00,0931,7,LAS VIRGENES RD,RT 101,S,N,Y,101,4,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,CALABASAS,-118.70120239,34.14518738,AUTO-AUTO,2022
-118.217989825834,33.8243877225259,17408,8947195,2019,2019/09/20 00:00:00+00,1916,5,WARDLOW RD,SEABRIGHT AV,N,N,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,LONG BEACH,-118.21775818,33.82464981,AUTO-BICYCLIST,2022
-118.267104972814,34.029430151748,17409,8951104,2019,2019/09/05 00:00:00+00,2100,4,BROADWAY AV,AVENUE 21, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.47727203,34.02833939,AUTO-AUTO,2022
-118.231953398743,33.9347162999988,17410,8951195,2019,2019/08/31 00:00:00+00,1744,6,SANTA ANA BL,111TH ST, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.23194122,33.93471146,AUTO-AUTO,2022
-118.29017330196,33.7369738124992,17411,8952723,2019,2019/09/21 00:00:00+00,0234,6,GRAND ST,8TH ST, ,Y,N, , ,2,0,2,1,0,1,0,0,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.29016113,33.73696899,AUTO-AUTO,2022
-118.318012997307,34.1027842459248,17412,8956315,2019,2019/09/27 00:00:00+00,2210,5,N BRONSON AV,CARLOS AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,1,0,0,LOS ANGELES,LOS ANGELES,-118.31800079,34.10277939,AUTO-BICYCLIST,2022
-118.181511438654,34.1901113025457,17413,8961442,2019,2019/08/27 00:00:00+00,1759,2,BERKSHIRE PL,RT 210, ,Y,Y,210,4,2,0,1,1,0,0,0,0,0,1,0,0,LOS ANGELES,LA CANADA-FLINTRIDGE,-118.18045807,34.18852234,AUTO-BICYCLIST,2022
-118.06541895704,34.0627261198494,17414,8965232,2019,2019/10/06 00:00:00+00,2240,7,ROSEMEAD AV,GARVEY AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,1,0,0,LOS ANGELES,SOUTH EL MONTE,-118.0654068,34.06272125,AUTO-BICYCLIST,2022
-117.880963060548,34.1287966939726,17415,8967938,2019,2019/10/14 00:00:00+00,1655,1,RT 66,BARRANCA AV,E,N,N, , ,2,0,4,1,1,2,0,0,0,0,0,0,LOS ANGELES,GLENDORA,-117.88095093,34.12879181,AUTO-AUTO,2022
-118.136624157881,34.6458446181159,17416,8968595,2019,2019/10/24 00:00:00+00,0756,4,AVE M,4TH ST WEST, ,Y,N, , ,2,0,2,1,1,0,0,0,0,0,0,0,LOS ANGELES,LANCASTER,-118.13661194,34.64583969,AUTO-AUTO,2022
-117.885662760392,34.0329333412369,17417,8968648,2019,2019/11/01 00:00:00+00,1659,5,AMAR RD,CREESIDE RD, ,Y,N, , ,2,0,2,1,0,1,0,0,0,0,0,0,LOS ANGELES,WALNUT,-117.88565063,34.03292847,AUTO-AUTO,2022
-118.064121947251,33.9022646758862,17418,8969895,2019,2019/10/07 00:00:00+00,1500,1,ROSECRANS BL,BLOOMFIELD AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,NORWALK,-118.0641098,33.90225983,AUTO-AUTO,2022
-118.150235006079,34.7151767477813,17419,8976589,2019,2019/09/01 00:00:00+00,1507,7,KINGTREE AV,AVENUE H-4, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LANCASTER,-118.15022278,34.71517181,AUTO-AUTO,2022
-118.465260325999,33.9799662312315,17420,8978285,2019,2019/10/25 00:00:00+00,2355,5,WASHINGTON BL,STRONG DR, ,Y,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.46524811,33.9799614,AUTO-PEDESTRIAN,2022
-118.212322973073,34.0543986259208,17421,8983752,2019,2019/09/28 00:00:00+00,0805,6,N STATE ST,CITY VIEW AV,N,N,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.21231079,34.05439377,AUTO-AUTO,2022
-117.755161950698,34.1101046825428,17422,8987989,2019,2019/07/16 00:00:00+00,1826,2,FOOTHILL BL,BRADFORD AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,LA VERNE,-117.75514984,34.11009979,AUTO-AUTO,2022
-118.389805610282,34.0872851253251,17423,8988138,2019,2019/10/20 00:00:00+00,1030,7,DOHENY DR,CYNTHIA ST, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,WEST HOLLYWOOD,-118.3897934,34.08728027,AUTO-AUTO,2022
-118.273953226332,33.9805842228425,17424,8989154,2019,2019/11/16 00:00:00+00,1725,6,S MAIN ST,E 65TH ST, ,Y,N, , ,2,0,2,1,0,1,0,1,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.27394104,33.98057938,AUTO-PEDESTRIAN,2022
-118.372174071424,34.0251131828485,17425,8992812,2019,2019/11/06 00:00:00+00,0800,3,LACIENEG BL,CORBETT ST, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.37216187,34.02510834,AUTO-AUTO,2022
-118.240086354334,34.1692515427066,17426,8993541,2019,2019/11/21 00:00:00+00,2109,4,OAKENGATE RD,GREENBRIAR RD,W,N,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,GLENDALE,-118.24007416,34.16924667,AUTO-PEDESTRIAN,2022
-118.187435876652,33.9679385045322,17427,8994262,2019,2019/10/28 00:00:00+00,1430,1,LIVE OAK AV,ATLANTIC AV,E,N,N, , ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,CUDAHY,-118.18742371,33.96793365,AUTO-AUTO,2022
-117.757540531998,34.0899829674727,17428,9000011,2019,2019/04/04 00:00:00+00,2130,4,ARROW HWY,LA VERNE AV, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LA VERNE,-117.75869751,34.0904007,AUTO-AUTO,2022
-118.450847370572,34.2737034490868,17429,9010324,2019,2019/10/24 00:00:00+00,1830,4,BRAND BL,RT 5, ,Y,Y,5,4,2,0,1,1,0,0,0,0,0,1,0,0,LOS ANGELES,LOS ANGELES,-118.450737,34.27455521,AUTO-BICYCLIST,2022
-118.244480876252,34.0529452250408,17430,9014745,2019,2019/12/02 00:00:00+00,0500,1,W 1ST ST,NORTH SPRING ST, ,Y,N, , ,2,0,3,1,0,2,0,0,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.24446869,34.05294037,AUTO-AUTO,2022
